company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
SBROTHERS CAMPOSITE INSTRUMENTS LIMITED,12693422,Dissolved,Private limited company,,2021-06-22,2020-06-23,,,32200,First Floor Temple Back 10 Temple Back Bristol BS1 6FL England,BS1 6FL,-2.586291,51.453252
CAMDEN DRUM COMPANY LIMITED,12702880,Dissolved,Private limited company,,2021-09-07,2020-06-29,,,32200,5 Cross Lane West Mersea Colchester CO5 8HN England,CO5 8HN,0.933546,51.78252
EPIC MUSIC GALAXY LTD,12590493,Dissolved,Private limited company,,2021-10-12,2020-05-07,,,32200 47591 47630 59200,"Salwa Moujir, Care Of. Access Lawyers, 800 High Road Tottenham N17 0DH United Kingdom",N17 0DH,-0.06776,51.605606
UK CUSTOM GUITARS LTD,12632546,Dissolved,Private limited company,,2020-11-17,2020-05-29,,,32200 46491,13 Moffat Road London N13 4SA England,N13 4SA,-0.118366,51.611447
PERCY LABS LIMITED,12231862,Dissolved,Private limited company,,2023-03-21,2019-09-27,,,32200 62012,17 Linden Grove Godmanchester Huntingdon PE29 2AS England,PE29 2AS,-0.172314,52.319627
MUSICARTE STORE LTD,12633417,Dissolved,Private limited company,,2021-11-02,2020-05-29,,,32200 46491 47591,27 Old Gloucester Street London WC1N 3AX United Kingdom,WC1N 3AX,-0.122185,51.520593
HUNTERSMARKBAND LTD,12460385,Dissolved,Private limited company,,2022-03-22,2020-02-13,,,32200 47591 47630 59200,35 Woodhouse Road Kilburn Belper DE56 0NA England,DE56 0NA,-1.435919,53.005343
TUNEWARE SYSTEMS LTD,12470727,Dissolved,Private limited company,,2021-09-07,2020-02-19,,,25940 32200 46491 77400,195 Rivermead Court Ranelagh Gardens London SW6 3SG England,SW6 3SG,-0.20694,51.467415
MK MUSIC SALES LTD,12660324,Dissolved,Private limited company,,2021-12-14,2020-06-10,,,32200 47591,71-75 Shelton Street Covent Garden London WC2H 9JQ England,WC2H 9JQ,-0.123615,51.514897
CUTLASS CUSTOM GUITARS LTD,12676819,Dissolved,Private limited company,,2023-04-04,2020-06-17,,,32200,63 Skipton Close Stevenage SG2 8TW England,SG2 8TW,-0.188233,51.881074
CUSTOM PRO GUITARS LTD,11420262,Dissolved,Private limited company,,2023-06-13,2018-06-18,,,32200,11 Windsor Clive Drive St. Fagans Cardiff CF5 6HQ United Kingdom,CF5 6HQ,-3.281213,51.513432
HANDPANS LIMITED,11439562,Dissolved,Private limited company,,2019-12-03,2018-06-28,,,32200,Bush House 30 Aldwych London WC2B 4BG United Kingdom,WC2B 4BG,-0.117067,51.51258
SHMAC TECHNOLOGIES LTD,11709132,Dissolved,Private limited company,,2021-07-06,2018-12-03,,,32200 62020 90010 90020,22 Smeed Road London E3 2NR England,E3 2NR,-0.022953,51.538243
LONGFELLOW GUITARS LIMITED,11138795,Dissolved,Private limited company,,2019-06-11,2018-01-08,,,32200,20a Conolly Rd Hanwell W7 3JW England,W7 3JW,-0.34134,51.510336
PLESION LIMITED,11531847,Dissolved,Private limited company,,2020-01-28,2018-08-22,,,32200,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
PINK FLOWER LIMITED,11483972,Dissolved,Private limited company,,2021-09-21,2018-07-25,,,32200,2 Foxcroft Green Leeds LS6 3NR United Kingdom,LS6 3NR,-1.591156,53.820845
SALFAYE LIMITED,10450118,Dissolved,Private limited company,,2018-04-03,2016-10-28,,,14110 14131 32200 32300,15 Hatherley Close Liverpool L8 2XS United Kingdom,L8 2XS,-2.959197,53.394134
GLOVER GUITARS LTD,13301261,Dissolved,Private limited company,,2022-05-31,2021-03-29,,,32200,46 Preston Drive Bexleyheath DA7 4UQ England,DA7 4UQ,0.126694,51.469715
COLLINGWOOD CYMBALS LTD,12019323,Active,Private limited company,,,2019-05-28,,,32200,Unit 6 Estate Of The Arts South Liberty Lane Bristol BS3 2SG United Kingdom,BS3 2SG,-2.611655,51.433071
COTSWOLD HYBRID ORGANS LTD,11964023,Active,Private limited company,,,2019-04-25,,,32200,Netherstone Cottage Netherstone Cottage Hill Farm Lane Tirley GL19 4EZ England,GL19 4EZ,-2.242941,51.95158
REDWOOD RAIL LTD,14719639,Active,Private limited company,,,2023-03-09,,,32200 72200,82 Broomhouse Lane Edlington Doncaster DN12 1LH England,DN12 1LH,-1.190781,53.479539
REDPATH VIOLIN REPAIRS LTD,SC445171,Dissolved,Private limited company,,2024-05-21,2013-03-15,,,32200,23/10 Orwell Place Edinburgh EH11 2AD ,EH11 2AD,-3.21881,55.942977
GREAT BRITISH DRUM COMPANY LTD,09768841,Active,Private limited company,,,2015-09-09,,,32200,749a Ormskirk Road Pemberton Wigan WN5 8AT England,WN5 8AT,-2.683455,53.536415
MARK ROBINSON (VIOLINS) LIMITED,07753616,Active,Private limited company,,,2011-08-26,,,32200,C/O Roberts Accountancy & Tax Ltd 11 Chartmoor Road Leighton Buzzard LU7 4WG England,LU7 4WG,-0.656993,51.906943
THE ALBOX COMPANY LIMITED,13190929,Active,Private limited company,,,2021-02-09,,,26400 32200,61 Bridge Street Kington HR5 3DJ United Kingdom,HR5 3DJ,-3.028491,52.20349
ARBOR DRUMS LIMITED,08660093,Active,Private limited company,,,2013-08-22,,,32200,4 Forest Vale Road Forest Vale Road Forest Vale Industrial Estate Cinderford GL14 2PH England,GL14 2PH,-2.511955,51.826191
ARK ORGANS LIMITED,09759388,Active,Private limited company,,,2015-09-02,,,32200,22-24 Harborough Road Kingsthorpe Northampton NN2 7AZ United Kingdom,NN2 7AZ,-0.900758,52.260368
F. BOOTH & SON (VOICERS) LIMITED,00577688,Active,Private limited company,,,1957-01-29,,,32200,Unit 6 Owlcotes Business Centre Varley Street Stanningley Pudsey LS28 6AN ,LS28 6AN,-1.668335,53.803925
DENDRICITI LIMITED,11332986,Active,Private limited company,,,2018-04-27,,,32200 47990 62020 62090,113 - 116 Bute Street Cardiff CF10 5EQ Wales,CF10 5EQ,-3.166484,51.465434
NATAL SUPER LATIN PERCUSSION LTD,05536815,Active,Private limited company,,,2005-08-15,,,32200,95 Knightsdale Road Weymouth DT4 0HU England,DT4 0HU,-2.468217,50.608718
LEVI SZENDRO LTD.,07985014,Dissolved,Private limited company,,2014-03-25,2012-03-12,,,32200,3b St. Cuthberts Road London NW2 3QJ United Kingdom,NW2 3QJ,-0.203973,51.549149
NUVO INSTRUMENTAL (EUROPE) LTD,06816310,Dissolved,Private limited company,,2014-05-13,2009-02-11,,,32200,11 Tinley Garth Kirkbymoorside York YO62 6AR ,YO62 6AR,-0.933988,54.269418
SOKEY LTD,13755002,Dissolved,Private limited company,,2023-05-16,2021-11-19,,,32200 32401 32409,Apartment 1804 55 Upper Ground London SE1 9EY England,SE1 9EY,-0.107225,51.507664
15TH FLOOR PICKUPS LTD,14162032,Dissolved,Private limited company,,2023-05-09,2022-06-09,,,32200,Flat 36 Smiths Yard 43 Blossom Street Ancoats M4 6AJ United Kingdom,M4 6AJ,-2.228206,53.48494
MBPX LTD,13979057,Dissolved,Private limited company,,2023-08-22,2022-03-15,,,32200,Flat 4 Kingston House St. Francis Way Great Yarmouth NR30 1LJ England,NR30 1LJ,1.723044,52.608429
MAD ALICE AUDIOWORKS LIMITED,14026650,Dissolved,Private limited company,,2023-11-14,2022-04-05,,,32200,Unit 2 Wellington Road York YO42 1AP United Kingdom,YO42 1AP,-0.801541,53.925182
GOLDSTAR BAMBOOSAX LIMITED,09051812,Active,Private limited company,,,2014-05-22,,,32200,199 Perry Vale Forest Hill London SE23 2JF ,SE23 2JF,-0.043625,51.435469
VENUS GUITARS LIMITED,14304655,Active,Private limited company,,,2022-08-18,,,32200 95290,7 Victoria Road Tamworth B79 7HS United Kingdom,B79 7HS,-1.69023,52.634938
STUDIO FABRICATIONS LTD,14260979,Dissolved,Private limited company,,2024-01-02,2022-07-28,,,32200,Halfpenny Green Vineyard Tom Lane Bobbington Stourbridge DY7 5EP United Kingdom,DY7 5EP,-2.251437,52.531096
JBANEZ STRUMENTS LTD,14442879,Dissolved,Private limited company,,2024-04-02,2022-10-25,,,32200,90 Sinclair Drive Basingstoke RG21 6AD England,RG21 6AD,-1.098223,51.266992
BAROONE GUITARS LIMITED,14453615,Dissolved,Private limited company,,2023-12-12,2022-10-31,,,32200,10 King Harolds View Portskewett Caldicot NP26 5RS Wales,NP26 5RS,-2.725228,51.590911
PIPE DREAMS REEDS LTD,SC701559,Active,Private limited company,,,2021-06-14,,,32200,"Suite 221, The Pentagon Centre 36 Washington Street Glasgow G3 8AZ United Kingdom",G3 8AZ,-4.268839,55.857971
HARRISON & HARRISON LIMITED,00351508,Active,Private limited company,,,1939-04-03,,,32200,Harrison And Harrison Ltd St Johns Road Meadowfield DH7 8YH ,DH7 8YH,-1.614125,54.752339
DWT GLOBAL SERVICES LTD,13226301,Active,Private limited company,,,2021-02-25,,,32200 47591,368 Omega Court 368 Cemetery Road Sheffield S11 8FT United Kingdom,S11 8FT,-1.48887,53.367999
KEDA MUSIC LIMITED,09866645,Active,Private limited company,,,2015-11-11,,,32200,Sight And Sound Centre 10 Priory Way Southall UB2 5EB United Kingdom,UB2 5EB,-0.390534,51.500266
SETH BACCUS GUITARS LTD,11239391,Active,Private limited company,,,2018-03-07,,,32200,11a Kimberley Park Road Falmouth TR11 2DA England,TR11 2DA,-5.076491,50.153806
PULSE WIDTH LTD,14948244,Active,Private limited company,,,2023-06-20,,,32200 59200 62012,23 St. Cloud Road London SE27 9PN England,SE27 9PN,-0.095648,51.429986
DAVID TREVELYAN AUDIO LIMITED,15079898,Active,Private limited company,,,2023-08-17,,,32200 59200 62012 71122,48 Capel Road London E7 0JP England,E7 0JP,0.030521,51.554218
J J GUITARS LIMITED,06259750,Active,Private limited company,,,2007-05-25,,,32200,1 Westfield Drive Ilkeston Derby DE7 9JR ,DE7 9JR,-1.322199,52.981449
UK BELL FOUNDRIES LTD,06274686,Active,Private limited company,,,2007-06-11,,,32200,The Bell Foundry Freehold Street Loughborough LE11 1AR ,LE11 1AR,-1.199254,52.77353
MIDAS GUITARS LIMITED,10718343,Active,Private limited company,,,2017-04-10,,,32200,10 Aspen Road Charlton Down Dorchester DT2 9FH United Kingdom,DT2 9FH,-2.454691,50.754789
MOJO CENTRAL LTD,14113690,Active,Private limited company,,,2022-05-17,,,32200 90010,13 Manor House Park Codsall Wolverhampton WV8 1ES England,WV8 1ES,-2.179196,52.630251
REED HUMIDOR LTD,SC604668,Active,Private limited company,,,2018-08-08,,,32200,23 Mcleod Road High Overtoun Dumbarton G82 3LB United Kingdom,G82 3LB,-4.542496,55.949868
MATSUMOKU GUITAR AND BASS LTD,13667474,Active,Private limited company,,,2021-10-07,,,32200 47591,Ketteringham Hall Church Road Ketteringham Wymondham NR18 9RS England,NR18 9RS,1.191888,52.578071
BURGESS BAGPIPES LTD,SC518152,Active,Private limited company,,,2015-10-16,,,32200,The Mount Dunphail Forres IV36 2QR Scotland,IV36 2QR,-3.603028,57.530565
MILLIERECORDZ LTD,15783424,Active,Private limited company,,,2024-06-17,,,32200 47630 59200,4 Thetford House St Saviours Estate Abbey Street London SE1 3PE United Kingdom,SE1 3PE,-0.076722,51.498328
CARRINGTON COWELL LIMITED,02095399,Dissolved,Private limited company,,2018-01-09,1987-02-02,,,32200 62090 74909,Acorns Rising Gladestry Kington HR5 3NT ,HR5 3NT,-3.14321,52.190719
SOUND PROOF LIMITED,02685912,Dissolved,Private limited company,,2015-05-19,1992-02-10,,,26120 32200 59200 90030,35 Watsons Lane Evesham WR11 1GB ,WR11 1GB,-1.942253,52.087885
GM DRUMWORKS LIMITED,05725016,Dissolved,Private limited company,,2023-04-11,2006-02-28,,,32200,Trinity & Co (Accountants) 71 Lancaster St Birmingham B4 7AT England,B4 7AT,-1.892904,52.4873
L.J. HOGG LIMITED,05657791,Dissolved,Private limited company,,2024-02-06,2005-12-19,,,32200 43320 71122 71129,8 Lee Close Knutsford WA16 0DW England,WA16 0DW,-2.378269,53.299834
ALCHEMY ENGINEERING DESIGN LTD,04751934,Dissolved,Private limited company,,2020-10-13,2003-05-02,,,32200,15 Marlow Drive Christchurch BH23 2RR ,BH23 2RR,-1.802361,50.756318
TAMBOO BAMBOO LIMITED,08091116,Dissolved,Private limited company,,2015-01-13,2012-05-31,,,32200,44 Wordsworth Drive Oulton Leeds LS26 8EP England,LS26 8EP,-1.449484,53.740277
DOUBLE SLIT GUITARS LTD,08178940,Dissolved,Private limited company,,2018-11-13,2012-08-14,,,32200,31 Bonsey Lane Westfield Woking GU22 9PT ,GU22 9PT,-0.56623,51.30126
BEAT THE GOAT BODHRANS LTD,08215635,Dissolved,Private limited company,,2014-10-21,2012-09-14,,,32200,144 Aspects Court Slough SL1 2DN ,SL1 2DN,-0.598322,51.506783
HARLEY AMPLIFICATION LIMITED,08660868,Dissolved,Private limited company,,2015-12-01,2013-08-22,,,32200,12 Northgate Bridgnorth WV16 4ER ,WV16 4ER,-2.420522,52.537403
GHANA GOODS LIMITED,04378688,Dissolved,Private limited company,,2023-02-14,2002-02-21,,,32200,52 Averay Road Stapleton Bristol BS16 1BH ,BS16 1BH,-2.557492,51.478003
CLEARVEWE EDUCATION LIMITED,05400042,Dissolved,Private limited company,,2023-11-07,2005-03-21,,,20301 25990 32200 62090,Ty Wilson Barn Llangwm Monmouthshire NP15 1LT ,NP15 1LT,-2.845529,51.690156
ADOM LIMITED,08005768,Dissolved,Private limited company,,2022-02-01,2012-03-26,,,32200,341 Croydon Road Wallington SM6 7PD ,SM6 7PD,-0.150146,51.36826
DWERN LIMITED,08008794,Dissolved,Private limited company,,2016-06-14,2012-03-27,,,32200 47591,71 Lakes Lane Beaconsfield HP9 2JZ England,HP9 2JZ,-0.630478,51.59961
EXCELSIOR MUSIC LTD,08485994,Dissolved,Private limited company,,2016-06-21,2013-04-12,,,32200,9 Breach Avenue Emsworth PO10 8NB ,PO10 8NB,-0.906626,50.85381
4TH AVENUE GUITARS LTD,08489253,Dissolved,Private limited company,,2018-06-19,2013-04-15,,,32200,111 Fourth Avenue York YO31 0SS ,YO31 0SS,-1.05622,53.962587
DC GUITARS LIMITED,08419114,Dissolved,Private limited company,,2015-06-16,2013-02-26,,,32200,43 Renown Street Plymouth PL2 2DF ,PL2 2DF,-4.178059,50.39154
ANDREW GARLICK HARPSICHORDS LIMITED,06774333,Dissolved,Private limited company,,2019-05-07,2008-12-16,,,32200,Brunswick House 1 Weirfield Green Taunton TA1 1AZ ,TA1 1AZ,-3.113716,51.02035
AUDIO SOURCING LIMITED,06849047,Dissolved,Private limited company,,2021-09-28,2009-03-17,,,32200,15 Wolfit Avenue Balderton Newark NG24 3PD ,NG24 3PD,-0.771562,53.056497
LONDON GUITARS LIMITED,08388657,Dissolved,Private limited company,,2016-09-20,2013-02-05,,,32200,York House Empire Way Wembley HA9 0FQ United Kingdom,HA9 0FQ,-0.2853910887991927,51.560606521695306
PAUL MARTIN GUITARS LIMITED,08348937,Dissolved,Private limited company,,2015-04-28,2013-01-07,,,32200,5 Lady Verney Close High Wycombe HP13 6TB ,HP13 6TB,-0.748687,51.633696
DRDRUMS UK LIMITED,09185704,Dissolved,Private limited company,,2019-11-12,2014-08-21,,,32200,60 Eastgrove Avenue Sharples Bolton BL1 7HA ,BL1 7HA,-2.435667,53.610624
WAVEMADE LIMITED,09400930,Dissolved,Private limited company,,2023-01-24,2015-01-22,,,32200 62011 90010 90030,11 Drayton Grove Timperley Altrincham WA15 7PZ ,WA15 7PZ,-2.325121,53.388197
SPECTRUMAXE LIMITED,09596629,Dissolved,Private limited company,,2023-10-31,2015-05-18,,,32200,Spectrumaxe Limited 7 Windmill Hill Princes Risborough HP27 0EP England,HP27 0EP,-0.834937,51.716894
RENAISSAN LIMITED,09688373,Dissolved,Private limited company,,2017-07-18,2015-07-15,,,32200,Hillview Cottage Barton End Lane Washpool Horsley Stroud GL6 0PP United Kingdom,GL6 0PP,-2.230919,51.681483
ROBSON TUNERS LIMITED,09670621,Dissolved,Private limited company,,2020-11-17,2015-07-03,,,32200,55 Glenesk Road Eltham London SE9 1AH United Kingdom,SE9 1AH,0.064893,51.455667
HIRSCH GUITAR LIMITED,07523219,Dissolved,Private limited company,,2018-06-05,2011-02-09,,,32200,The Old Casino 28 Fourth Avenue Hove BN3 2PJ ,BN3 2PJ,-0.171884,50.826783
IT YORKSHIRE LIMITED,08300635,Dissolved,Private limited company,,2015-03-03,2012-11-20,,,32200,Flat 2 12 Huddersfield Road Barnsley S70 2LT ,S70 2LT,-1.485633,53.558183
SQUIRREL AUDIO LTD,07833790,Dissolved,Private limited company,,2017-01-24,2011-11-03,,,32200 62090,11 Rogers Road Swaffham Prior Cambridge CB25 0HX ,CB25 0HX,0.303707,52.257736
AUGMENTED INSTRUMENTS LTD,10366610,Active,Private limited company,,,2016-09-08,,,26200 32200 62020,Room Cs300 Queen Mary University Of London 327 Mile End Road London E1 4NS England,E1 4NS,-0.040683,51.524637
CLENNELL CUSTOM BRASS LIMITED,12044301,Active,Private limited company,,,2019-06-11,,,32200 33110,30 Norton Road Coleshill Birmingham B46 1ET United Kingdom,B46 1ET,-1.711264,52.507612
CREAMY SOLUTIONS LIMITED,09572540,Active,Private limited company,,,2015-05-05,,,32200 47910,106 Gilfach Street Bargoed CF81 8LQ Wales,CF81 8LQ,-3.230229,51.686056
NGAI'S VIOLINS LTD,14930616,Active,Private limited company,,,2023-06-12,,,32200 47591 56102,48 Broad Street Worcester WR1 3LR England,WR1 3LR,-2.223568,52.192445
PAUL WHITTINGTON GROUP LIMITED,11423506,Active,Private limited company,,,2018-06-19,,,32200,2 Windsor Avenue Leighton Buzzard LU7 1AP United Kingdom,LU7 1AP,-0.666068,51.918591
ROSE WIRE LIMITED,15815446,Active,Private limited company,,,2024-07-02,,,32200 47591,The Workshop English's Passage Lewes BN7 2AP United Kingdom,BN7 2AP,0.017068,50.874492
BAREBONES GUITAR AMPLIFICATION LTD,11740997,Active,Private limited company,,,2018-12-24,,,32200,23 Winterstoke Road London SE6 4UG United Kingdom,SE6 4UG,-0.03302,51.442854
UPSTROKE LTD,13165521,Dissolved,Private limited company,,2024-07-09,2021-01-28,,,32200 47591,8 Molyneux Street London W1H 5HP England,W1H 5HP,-0.164851,51.518103
KILBERRY BAGPIPES LTD,SC604401,Active,Private limited company,,,2018-08-03,,,32200,27 St Mary's Street Edinburgh EH1 1TA United Kingdom,EH1 1TA,-3.184226,55.950305
ASTON PRODUCTS LIMITED,03392582,Active,Private limited company,,,1997-06-26,,,25990 32200,Station House North Street Havant PO9 1QU England,PO9 1QU,-0.980695,50.854048
STARFISH DESIGNS (SCOTLAND) LTD.,SC261689,Active,Private limited company,,,2004-01-09,,,32200,The Old Surgery School Road Tarbert PA29 6UL Scotland,PA29 6UL,-5.414735,55.862868
STEWART BAGPIPE SUPPLIES LTD,SC673312,Active,Private limited company,,,2020-09-04,,,32200,20 Keirhill Way Westhill AB32 6AX Scotland,AB32 6AX,-2.310511,57.159898
